Satisfaction,Enjoyment,Recommend,Type,SpendingLastYear,SpendingThisYear,BirthDate
Satisfied,High,Neutral,Action,379,661,7/30/1992
Very Satisfied,High,Will,Role Play,400,320,10/17/1984
Satisfied,Neutral,Neutral,Action,324,625,9/22/1985
Satisfied,High,Will,Role Play,452,150,1/7/1988
Neutral,Very High,Definitely Will,Sports,398,716,11/18/1991
Neutral,Very High,Neutral,Action,168,555,9/6/1994
Neutral,Very High,Will,Sports,203,519,11/26/1985
Neutral,High,Neutral,Sports,252,259,7/14/1984
Neutral,High,Will,Sports,217,475,4/1/1996
Satisfied,High,Neutral,Action,288,140,9/26/1983
Satisfied,Very High,Will,Action,429,432,10/5/1986
Very Satisfied,Very High,Definitely Will,Role Play,190,166,2/26/1996
Satisfied,High,Neutral,Sports,161,237,3/14/1992
Neutral,Very High,Definitely Will,Action,406,190,10/7/1987
Satisfied,Very High,Will,Role Play,426,726,11/6/1986
Satisfied,Very High,Neutral,Action,436,125,2/4/1990
Satisfied,High,Neutral,Action,347,368,9/17/1985
Satisfied,Very High,Definitely Will,Sports,482,677,5/23/1997
Dissatisfied,Very High,Will,Role Play,324,704,4/1/1984
Very Satisfied,High,Will,Sports,380,363,1/1/1998
Satisfied,High,Definitely Will,Action,474,669,1/28/1991
Neutral,Very High,Will,Role Play,209,172,10/27/1982
Neutral,High,Will,Action,276,156,3/8/1990
Very Satisfied,Very High,Neutral,Role Play,338,245,9/9/1982
Neutral,Neutral,Will Not,Role Play,220,331,12/27/1986
Satisfied,Very High,Neutral,Role Play,295,484,10/16/1997
Satisfied,Very High,Definitely Will,Role Play,430,304,9/21/1983
Neutral,Neutral,Neutral,Role Play,177,322,8/18/1997
Very Satisfied,High,Neutral,Sports,302,658,1/22/1984
Neutral,Neutral,Definitely Will,Role Play,327,545,9/9/1994
Satisfied,High,Will,Role Play,249,215,8/25/1987
Very Satisfied,Very High,Will,Role Play,229,769,10/2/1992
Very Satisfied,Very High,Definitely Will,Role Play,476,634,12/30/1982
Satisfied,Very High,Will,Role Play,329,638,3/31/1984
Satisfied,High,Will,Sports,284,239,7/25/1994
Very Satisfied,High,Neutral,Action,309,472,6/15/1997
Satisfied,High,Will,Sports,414,448,2/9/1995
Satisfied,Neutral,Will Not,Sports,264,632,3/10/1993
Satisfied,High,Neutral,Sports,408,154,5/4/1985
Satisfied,Neutral,Will,Action,273,772,2/24/1990
Satisfied,Very High,Definitely Will,Action,360,392,3/22/1982
Very Satisfied,Very High,Will,Sports,154,120,6/29/1984
Neutral,High,Neutral,Action,222,719,4/23/1987
Satisfied,Very High,Definitely Will,Role Play,150,575,5/25/1987
Satisfied,High,Will,Sports,485,563,11/28/1995
Satisfied,Very High,Neutral,Action,353,247,9/17/1994
Satisfied,High,Will Not,Action,164,774,10/19/1993
Satisfied,Neutral,Neutral,Action,192,641,6/16/1990
Satisfied,Very High,Neutral,Action,293,370,7/29/1988
Neutral,Neutral,Will Not,Role Play,189,299,1/19/1991
Very Dissatisfied,Very High,Definitely Will,Sports,248,250,7/23/1983
Satisfied,Very High,Neutral,Action,191,129,9/25/1991
Neutral,High,Neutral,Role Play,316,156,11/23/1985
Neutral,High,Will,Role Play,289,654,3/27/1997
Satisfied,High,Definitely Will,Role Play,220,376,3/23/1995
Neutral,High,Neutral,Action,211,344,8/23/1983
Neutral,High,Will,Role Play,332,207,12/6/1995
Neutral,High,Will,Sports,193,705,7/8/1982
Satisfied,High,Will,Sports,376,607,5/27/1992
Neutral,Very High,Will Not,Role Play,193,294,8/2/1996
Satisfied,High,Will,Role Play,372,377,4/10/1992
Very Satisfied,High,Will,Sports,347,555,3/12/1988
Very Satisfied,High,Will,Action,252,270,1/6/1994
Satisfied,High,Neutral,Role Play,487,174,7/7/1985
Neutral,Neutral,Will,Sports,281,494,9/10/1997
Neutral,Very High,Definitely Will,Role Play,287,506,3/22/1989
Satisfied,High,Will,Sports,322,463,5/13/1995
Dissatisfied,Very High,Will,Action,234,675,9/13/1993
Satisfied,High,Neutral,Sports,377,438,5/11/1998
Satisfied,Very High,Will,Sports,391,300,1/28/1998
Satisfied,Neutral,Neutral,Sports,270,471,3/28/1989
Very Satisfied,High,Will,Action,186,255,9/13/1997
Very Satisfied,Very High,Neutral,Sports,243,253,1/24/1987
Neutral,Very High,Definitely Will,Role Play,436,627,3/10/1996
Dissatisfied,Very High,Will,Sports,193,767,9/17/1989
Neutral,High,Will,Action,481,676,9/30/1983
Very Satisfied,High,Neutral,Sports,374,654,10/31/1990
Satisfied,High,Definitely Will,Action,388,457,1/23/1991
Satisfied,Very High,Will,Action,346,385,12/2/1990
Very Satisfied,High,Neutral,Sports,358,410,1/14/1994
Very Satisfied,High,Will,Role Play,197,329,8/9/1988
Satisfied,High,Neutral,Action,344,201,9/10/1992
Satisfied,Very High,Will,Role Play,388,143,9/17/1992
Neutral,High,Will,Action,215,789,6/17/1986
Satisfied,Very High,Will,Sports,449,547,4/1/1983
Dissatisfied,High,Neutral,Action,220,211,1/6/1995
Satisfied,Very High,Definitely Will,Sports,244,139,5/19/1996
Satisfied,Neutral,Will,Action,464,571,10/13/1988
Very Satisfied,High,Will,Sports,377,152,9/25/1995
Dissatisfied,High,Definitely Will Not,Role Play,170,588,1/26/1993
Neutral,Very High,Will,Role Play,191,605,3/11/1983
Neutral,Very High,Will,Role Play,180,621,11/21/1995
Satisfied,Neutral,Neutral,Sports,228,326,12/19/1997
Neutral,Neutral,Neutral,Sports,303,729,8/14/1988
Neutral,High,Will,Action,179,293,5/29/1987
Very Satisfied,High,Definitely Will,Action,471,420,10/14/1983
Satisfied,High,Will,Sports,464,598,3/18/1991
Satisfied,Very High,Definitely Will,Action,492,214,1/15/1984
Satisfied,Very High,Definitely Will,Sports,325,309,6/3/1984
Neutral,High,Will,Sports,244,635,8/11/1988
