"Section","Biological.Sex","GPA","Miss_Class","Seating","Monthly_Parties","Drinking_Days","Weekly_Study","Book_Cost","Book_Cost_Log10","Book_Cost_Sqrt","More_than_3_Missing_Days"
"Section 13","Male",3.02,2,"Front",0,2,3,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",4,1,"Front",0,5,25,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.12,1,"Front",0,0,20,250,2.39794000867204,15.8113883008419,0
"Section 13","Male",3.21,1,"Front",0,0,10,100,2,10,0
"Section 13","Female",3.67,0,"Front",0,0,20,250,2.39794000867204,15.8113883008419,0
"Section 13","Female",3.7,0,"Jared Paubel",0,4,8,100,2,10,0
"Section 13","Female",2.83,0,"Middle",0,1,5,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",2.86,0,"Front",0,0,14,400,2.60205999132796,20,0
"Section 14","Female",3.76,0,"Front",0,0,10,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",3.92,0,"Front",0,0,27,530,2.72427586960079,23.0217288664427,0
"Section 14","Female",3.27,0,"Front",0,0,50,500,2.69897000433602,22.3606797749979,0
"Section 14","Male",3.67,0,"Front",0,0,5,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",0,0,"Middle",0,0,5,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",3.78,1,"Middle",0,3,30,250,2.39794000867204,15.8113883008419,0
"Section 15","Male",3.21,1,"Middle",0,1,7,500,2.69897000433602,22.3606797749979,0
"Section 15","Female",3.81,0,"Middle",0,0,10,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.83,0,"Middle",0,0,30,500,2.69897000433602,22.3606797749979,0
"Section 16","Male",3,1,"Middle",0,0,30,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",3.13,0,"Front",0,0,40,400,2.60205999132796,20,0
"Section 16","Male",3.08,0,"Middle",0,15,2,415,2.61804809671209,20.3715487874634,0
"Section 16","Female",3.46,0,"Middle",0,0,15,110,2.04139268515822,10.4880884817015,0
"Section 13","Male",2.67,1,"Middle",1,0,15,250,2.39794000867204,15.8113883008419,0
"Section 13","Female",3.2,0,"Back",1,3,5,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.73,0,"Back",1,0,50,600,2.77815125038364,24.4948974278318,0
"Section 13","Male",3.76,0,"Middle",1,1,8,250,2.39794000867204,15.8113883008419,0
"Section 13","Male",3.54,0,"Middle",1,1,7,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",2.98,1,"Back",1,5,4,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",2.75,0,"Front",1,7,4,400,2.60205999132796,20,0
"Section 14","Male",3.7,0,"Middle",1,7,12,350,2.54406804435028,18.7082869338697,0
"Section 15","Male",3.08,1,"Middle",1,0,20,450,2.65321251377534,21.2132034355964,0
"Section 15","Female",3.33,0,"Middle",1,8,15,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",2.98,0,"Middle",1,0,8,400,2.60205999132796,20,0
"Section 16","Male",3.53,4,"Back",1,2,2,400,2.60205999132796,20,1
"Section 16","Male",3.35,1,"Middle",1,1,5,320,2.50514997831991,17.8885438199983,0
"Section 16","Female",3,0,"Middle",1,1,45,225,2.35218251811136,15,0
"Section 16","Male",3.53,0,"Middle",1,1,6,410,2.61278385671974,20.2484567313166,0
"Section 13","Male",3.19,3,"Middle",2,3,10,350,2.54406804435028,18.7082869338697,0
"Section 13","Female",2.98,3,"Middle",2,0,8,400,2.60205999132796,20,0
"Section 13","Female",3.89,2,"Middle",2,0,5,200,2.30102999566398,14.142135623731,0
"Section 13","Female",3.59,0,"Front",2,0,20,500,2.69897000433602,22.3606797749979,0
"Section 13","Female",2.91,0,"Middle",2,2,15,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.7,0,"Middle",2,1,8,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.2,0,"Middle",2,0,12,310,2.49136169383427,17.606816861659,0
"Section 13","Female",2.5,0,"Middle",2,0,35,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",3.48,1,"Front",2,2,35,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",3.51,0,"Back",2,2,9,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",3.08,0,"Back",2,1,10,400,2.60205999132796,20,0
"Section 14","Female",3.16,0,"Middle",2,6,10,400,2.60205999132796,20,0
"Section 14","Male",3.88,0,"Middle",2,2,12,360,2.55630250076729,18.9736659610103,0
"Section 14","Female",3.53,0,"Middle",2,1,6,400,2.60205999132796,20,0
"Section 15","Female",3.36,0,"Middle",2,2,12,200,2.30102999566398,14.142135623731,0
"Section 16","Male",3.05,2,"Back",2,8,2,354,2.54900326202579,18.8148877222268,0
"Section 16","Female",3.02,1,"Front",2,2,6,400,2.60205999132796,20,0
"Section 16","Female",3.6,0,"Middle",2,3,15,250,2.39794000867204,15.8113883008419,0
"Section 16","Female",2.3,0,"Middle",2,2,12,150,2.17609125905568,12.2474487139159,0
"Section 13","Male",3.24,2,"Back",3,28,4,600,2.77815125038364,24.4948974278318,0
"Section 13","Female",2.67,1,"Middle",3,2,3,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.84,1,"Middle",3,0,8,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.48,0,"Front",3,4,12,500,2.69897000433602,22.3606797749979,0
"Section 13","Female",3.5,0,"Front",3,0,30,370,2.56820172406699,19.2353840616713,0
"Section 13","Female",3.3,0,"Middle",3,6,15,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.57,0,"Middle",3,3,10,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",3.38,2,"Middle",3,3,5,400,2.60205999132796,20,0
"Section 14","Female",3.5,0,"Front",3,3,12,450,2.65321251377534,21.2132034355964,0
"Section 14","Male",2.8,0,"Middle",3,1,7,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",3.3,5,"Middle",3,4,10,300,2.47712125471966,17.3205080756888,1
"Section 15","Female",3.2,2,"Back",3,10,12,450,2.65321251377534,21.2132034355964,0
"Section 15","Male",3.72,0,"Front",3,4,10,325,2.51188336097887,18.0277563773199,0
"Section 15","Male",2.8,0,"Middle",3,3,20,200,2.30102999566398,14.142135623731,0
"Section 16","Female",3.01,3,"Middle",3,4,28,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.78,1,"Middle",3,2,7,200,2.30102999566398,14.142135623731,0
"Section 16","Female",3.8,0,"Front",3,3,15,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.92,1,"Middle",4,5,30,400,2.60205999132796,20,0
"Section 13","Male",3.94,0,"Back",4,8,15,550,2.74036268949424,23.4520787991171,0
"Section 13","Female",3,0,"Back",4,4,10,600,2.77815125038364,24.4948974278318,0
"Section 13","Female",3.57,0,"Back",4,0,10,400,2.60205999132796,20,0
"Section 13","Female",3.33,0,"Front",4,4,15,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.13,0,"Front",4,0,30,400,2.60205999132796,20,0
"Section 13","Female",3.8,0,"Middle",4,5,10,200,2.30102999566398,14.142135623731,0
"Section 13","Male",3.83,0,"Middle",4,4,10,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",2,1,"Middle",4,8,10,100,2,10,0
"Section 14","Female",3.1,0,"Middle",4,4,15,800,2.90308998699194,28.2842712474619,0
"Section 14","Female",3.4,0,"Middle",4,4,25,200,2.30102999566398,14.142135623731,0
"Section 15","Male",2.45,1,"Back",4,12,7,400,2.60205999132796,20,0
"Section 15","Male",3.86,1,"Middle",4,15,6,350,2.54406804435028,18.7082869338697,0
"Section 15","Male",3.95,0,"Front",4,10,3,250,2.39794000867204,15.8113883008419,0
"Section 15","Female",3.7,0,"Front",4,6,25,400,2.60205999132796,20,0
"Section 15","Male",3.13,0,"Middle",4,5,6,300,2.47712125471966,17.3205080756888,0
"Section 15","Male",4,0,"Middle",4,1,6,400,2.60205999132796,20,0
"Section 16","Female",2.57,3,"Back",4,4,3,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.03,2,"Back",4,5,5,250,2.39794000867204,15.8113883008419,0
"Section 16","Male",2.5,1,"Back",4,4,20,400,2.60205999132796,20,0
"Section 16","Female",2.25,1,"Middle",4,15,6,400,2.60205999132796,20,0
"Section 16","Female",3.3,1,"Middle",4,1,20,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",3.74,0,"Front",5,5,8,400,2.60205999132796,20,0
"Section 13","Female",3.5,0,"Front",5,3,30,250,2.39794000867204,15.8113883008419,0
"Section 14","Male",2.41,2,"Middle",5,6,10,400,2.60205999132796,20,0
"Section 14","Male",3.3,1,"Middle",5,9,4,200,2.30102999566398,14.142135623731,0
"Section 14","Female",3.7,1,"Middle",5,8,5,400,2.60205999132796,20,0
"Section 15","Female",3.77,0,"Middle",5,8,12,380,2.57978359661681,19.4935886896179,0
"Section 15","Female",2.8,0,"Middle",5,4,35,450,2.65321251377534,21.2132034355964,0
"Section 15","Male",3.51,0,"Middle",5,7.40625,10,140,2.14612803567824,11.8321595661992,0
"Section 16","Male",2.7,2,"Middle",5,10,8,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",3.7,0,"Front",5,1,15,200,2.30102999566398,14.142135623731,0
"Section 16","Male",3.2,0,"Middle",5,12,3,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.16,0,"Middle",5,8,35,200,2.30102999566398,14.142135623731,0
"Section 16","Male",2.75,0,"Middle",5,6,15,450,2.65321251377534,21.2132034355964,0
"Section 13","Female",1.67,4,"Middle",6,0,6,300,2.47712125471966,17.3205080756888,1
"Section 13","Female",4,1,"Front",6,6,18,400,2.60205999132796,20,0
"Section 13","Female",2.89,0,"Front",6,6,30,350,2.54406804435028,18.7082869338697,0
"Section 13","Female",3.3,0,"Front",6,0,20,325,2.51188336097887,18.0277563773199,0
"Section 13","Female",3.1,0,"Middle",6,6,18,395,2.59659709562646,19.8746069143518,0
"Section 14","Male",3,1,"Middle",6,13,6,350,2.54406804435028,18.7082869338697,0
"Section 14","Female",3.76,0,"Back",6,6,12,200,2.30102999566398,14.142135623731,0
"Section 14","Male",3.1,0,"Front",6,13,8,250,2.39794000867204,15.8113883008419,0
"Section 14","Female",3.74,0,"Front",6,6,25,250,2.39794000867204,15.8113883008419,0
"Section 15","Male",3.72,2,"Front",6,6,5,300,2.47712125471966,17.3205080756888,0
"Section 15","Male",3.72,1,"Back",6,4,18,550,2.74036268949424,23.4520787991171,0
"Section 15","Female",2.97,1,"Middle",6,6,8,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",3.1,1,"Middle",6,6,15,400,2.60205999132796,20,0
"Section 16","Female",2.13,2,"Back",6,6,20,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",2.79,1,"Middle",6,7,7,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",2.61,0,"Middle",6,8,18,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",3.48,0,"Middle",6,6,14,250,2.39794000867204,15.8113883008419,0
"Section 16","Female",3,0,"Middle",6,0,15,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",3.2,2,"Middle",7,20,17,500,2.69897000433602,22.3606797749979,0
"Section 15","Female",3.71,0,"Middle",7,6,12,400,2.60205999132796,20,0
"Section 16","Female",3.63,0,"Front",7,10,20,175,2.24303804868629,13.228756555323,0
"Section 13","Female",2.4,1,"Middle",8,8,10,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",3.9,0,"Front",8,6,10,450,2.65321251377534,21.2132034355964,0
"Section 13","Female",2.92,0,"Middle",8,16,15,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",3.42,0,"Middle",8,10,18,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",3.45,0,"Middle",8,10,12,400,2.60205999132796,20,0
"Section 13","Male",2.91,0,"Middle",8,9,10,350,2.54406804435028,18.7082869338697,0
"Section 13","Female",3.6,0,"Middle",8,8,8,400,2.60205999132796,20,0
"Section 13","Female",4,0,"Middle",8,8,12,450,2.65321251377534,21.2132034355964,0
"Section 13","Female",3.1,0,"Middle",8,8,20,400,2.60205999132796,20,0
"Section 13","Female",3.63,0,"Middle",8,6,12,150,2.17609125905568,12.2474487139159,0
"Section 13","Female",3.3,0,"Back",8,8,40,400,2.60205999132796,20,0
"Section 14","Female",3.2,3,"Front",8,12,10,320,2.50514997831991,17.8885438199983,0
"Section 14","Female",2.65,0,"Front",8,6,25,330,2.51851393987789,18.1659021245849,0
"Section 14","Male",3.51,0,"Middle",8,8,10,450,2.65321251377534,21.2132034355964,0
"Section 14","Female",3.4,0,"Middle",8,8,10,250,2.39794000867204,15.8113883008419,0
"Section 15","Male",2.2,2,"Middle",8,20,6,320,2.50514997831991,17.8885438199983,0
"Section 15","Male",2.6,2,"Middle",8,8,8,300,2.47712125471966,17.3205080756888,0
"Section 15","Male",2.1,1,"Front",8,30,20,600,2.77815125038364,24.4948974278318,0
"Section 15","Female",3.27,1,"Middle",8,10,15,360,2.55630250076729,18.9736659610103,0
"Section 15","Female",4,0,"Middle",8,8,20,450,2.65321251377534,21.2132034355964,0
"Section 16","Male",3.77,3,"Back",8,8,14,500,2.69897000433602,22.3606797749979,0
"Section 16","Female",3.3,2,"Middle",8,8,10,350,2.54406804435028,18.7082869338697,0
"Section 16","Female",3.25,1,"Front",8,8,10,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",2.2,1,"Middle",8,10,20,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.55,0,"Middle",8,8,10,335,2.52504480703685,18.3030052177231,0
"Section 16","Male",3,0,"Middle",8,8,14,300,2.47712125471966,17.3205080756888,0
"Section 14","Male",2.9,1,"Front",9,10,3,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",3.88,0,"Middle",9,9,8,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",2.9,2,"Middle",10,12,6,100,2,10,0
"Section 13","Male",3.2,1,"Middle",10,15,9,300,2.47712125471966,17.3205080756888,0
"Section 13","Male",2.98,1,"Middle",10,14,10,250,2.39794000867204,15.8113883008419,0
"Section 13","Male",3.33,0,"Front",10,8,12,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",3.81,0,"Middle",10,12,10,500,2.69897000433602,22.3606797749979,0
"Section 13","Female",3.7,0,"Middle",10,10,15,450,2.65321251377534,21.2132034355964,0
"Section 13","Female",3.31,0,"Middle",10,1,30,400,2.60205999132796,20,0
"Section 13","Male",2.8,0,"Middle",10,12,5,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",2.55,5,"Back",10,12,4,350,2.54406804435028,18.7082869338697,1
"Section 14","Male",3.42,0,"Middle",10,12,15,320,2.50514997831991,17.8885438199983,0
"Section 15","Male",3.5,2,"Back",10,12,10,450,2.65321251377534,21.2132034355964,0
"Section 15","Female",3.94,2,"Back",10,10,3,300,2.47712125471966,17.3205080756888,0
"Section 15","Male",2.8,2,"Middle",10,10,15,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.5,1,"Middle",10,10,20,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.12,0,"Front",10,14,7,225,2.35218251811136,15,0
"Section 15","Female",2.9,0,"Front",10,2,20,500,2.69897000433602,22.3606797749979,0
"Section 15","Male",3.36,0,"Middle",10,15,15,400,2.60205999132796,20,0
"Section 15","Female",3.6,0,"Middle",10,10,20,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.8,1,"Middle",10,15,10,350,2.54406804435028,18.7082869338697,0
"Section 16","Male",2.43,1,"Middle",10,13,8,410,2.61278385671974,20.2484567313166,0
"Section 16","Male",2.57,1,"Middle",10,10,17,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",2.5,1,"Middle",10,7,15,300,2.47712125471966,17.3205080756888,0
"Section 16","Female",3.61,0,"Middle",10,15,10,250,2.39794000867204,15.8113883008419,0
"Section 16","Female",3.53,0,"Middle",10,12,10,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.36,0,"Middle",10,10,6,450,2.65321251377534,21.2132034355964,0
"Section 16","Female",3.78,0,"Middle",10,7,25,400,2.60205999132796,20,0
"Section 16","Female",3.92,0,"Middle",10,0,25,300,2.47712125471966,17.3205080756888,0
"Section 13","Female",2.5,4,"Back",11,11,7,450,2.65321251377534,21.2132034355964,1
"Section 15","Female",3.21,1,"Front",11,15,4,520,2.7160033436348,22.8035085019828,0
"Section 16","Male",3.4,0,"Middle",11,15,16,400,2.60205999132796,20,0
"Section 13","Male",3.02,1,"Back",12,5,20,400,2.60205999132796,20,0
"Section 13","Female",3.2,0,"Middle",12,14,10,350,2.54406804435028,18.7082869338697,0
"Section 14","Male",3.87,4,"Back",12,12,5,350,2.54406804435028,18.7082869338697,1
"Section 14","Male",3.06,2,"Back",12,15,8,400,2.60205999132796,20,0
"Section 14","Female",2.8,2,"Middle",12,18,8,250,2.39794000867204,15.8113883008419,0
"Section 14","Male",3.3,2,"Middle",12,12,20,400,2.60205999132796,20,0
"Section 14","Male",3.3,1,"Back",12,12,2,200,2.30102999566398,14.142135623731,0
"Section 14","Female",2.7,1,"Front",12,12,15,400,2.60205999132796,20,0
"Section 14","Male",3.36,1,"Middle",12,12,2,400,2.60205999132796,20,0
"Section 14","Female",3,1,"Middle",12,12,8,300,2.47712125471966,17.3205080756888,0
"Section 14","Female",3.74,0,"Back",12,13,5,430,2.63346845557959,20.7364413533277,0
"Section 14","Male",3.73,0,"Middle",12,15,12,450,2.65321251377534,21.2132034355964,0
"Section 15","Female",3.76,2,"Middle",12,15,5,300,2.47712125471966,17.3205080756888,0
"Section 15","Female",2.99,2,"Middle",12,15,7,200,2.30102999566398,14.142135623731,0
"Section 15","Female",3.62,2,"Middle",12,15,6,350,2.54406804435028,18.7082869338697,0
"Section 15","Female",3.55,2,"Middle",12,13,5,500,2.69897000433602,22.3606797749979,0
"Section 15","Female",2.8,1,"Middle",12,8,18,400,2.60205999132796,20,0
"Section 15","Female",3.77,0,"Middle",12,13,16,420,2.6232492903979,20.4939015319192,0
"Section 15","Female",2.98,0,"Middle",12,12,20,200,2.30102999566398,14.142135623731,0
"Section 15","Female",3.1,0,"Middle",12,12,12,400,2.60205999132796,20,0
"Section 15","Female",3,0,"Middle",12,14,6,300,2.47712125471966,17.3205080756888,0
"Section 16","Male",3.14,1,"Middle",12,15,4,400,2.60205999132796,20,0
"Section 16","Male",3.42,0,"Middle",12,25,10,480,2.68124123737559,21.9089023002066,0
"Section 16","Male",3.76,0,"Middle",12,10,8,200,2.30102999566398,14.142135623731,0
"Section 16","Female",3.41,0,"Middle",12,10,14,200,2.30102999566398,14.142135623731,0
"Section 13","Female",3.55,0,"Front",12,0,15,400,2.60205999132796,20,0
